10:04:11.692 [main] INFO  task.validator.ValidatorParseStringOfDouble - Validating is: true
10:04:11.692 [main] INFO  reader.impl.DataStringReaderStreamImpl - Reading from txt has finished. Line  = Optional[-1.8, 9.6,8.7, 1.3 6.1 8 0]
10:06:32.223 [main] INFO   - Start Main test...
10:06:32.225 [main] INFO  reader.impl.DataStringReaderImpl - Start read from txt.
10:06:32.225 [main] INFO  reader.impl.DataStringReaderImpl - Line is : 3.6 5.9 5в6 -9.7
10:06:32.226 [main] INFO  task.validator.ValidatorParseStringOfDouble - Start to validate string: 3.6 5.9 5в6 -9.7
10:06:32.226 [main] INFO  task.validator.ValidatorParseStringOfDouble - Validating is: false
10:06:32.226 [main] INFO  reader.impl.DataStringReaderImpl - Line is : -1.8, 9.6,8.7, 1.3 6.1 8 0
10:06:32.227 [main] INFO  task.validator.ValidatorParseStringOfDouble - Start to validate string: -1.8, 9.6,8.7, 1.3 6.1 8 0
10:06:32.227 [main] INFO  task.validator.ValidatorParseStringOfDouble - Validating is: true
10:06:32.227 [main] INFO  reader.impl.DataStringReaderImpl - Finish read from txt. True line is : -1.8, 9.6,8.7, 1.3 6.1 8 0
10:06:32.228 [main] INFO  reader.impl.DataStringReaderStreamImpl - Start read from txt.
10:06:32.230 [main] INFO  task.validator.ValidatorParseStringOfDouble - Start to validate string: 3.6 5.9 5в6 -9.7
10:06:32.230 [main] INFO  task.validator.ValidatorParseStringOfDouble - Validating is: false
10:06:32.230 [main] INFO  task.validator.ValidatorParseStringOfDouble - Start to validate string: -1.8, 9.6,8.7, 1.3 6.1 8 0
10:06:32.230 [main] INFO  task.validator.ValidatorParseStringOfDouble - Validating is: true
10:06:32.231 [main] INFO  reader.impl.DataStringReaderStreamImpl - Reading from txt has finished. Line  = Optional[-1.8, 9.6,8.7, 1.3 6.1 8 0]
10:06:32.231 [main] INFO  reader.impl.DataStringReaderStreamImpl - Start read from txt.
10:06:32.231 [main] INFO  task.validator.ValidatorParseStringOfDouble - Start to validate string: 3.6 5.9 5в6 -9.7
