10:07:15.035 [main] INFO  service.impl.ArrayServiceSortImpl2 - Start Shell sort.
10:07:15.035 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
10:07:15.035 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:07:15.036 [main] INFO  service.impl.ArrayServiceSortImpl2 - Array :[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
10:07:15.036 [main] INFO  service.impl.ArrayServiceSortImpl2 - Shell sorting have finished. Sorted array: CustomerArray[-1.8, 1.3, 6.1, 8.0, 8.7, 9.6]
10:07:15.036 [main] INFO   - Array after sort  = CustomerArray[-1.8, 1.3, 6.1, 8.0, 8.7, 9.6]

10:07:15.036 [main] INFO  task.creator.CustomerArrayCreator - Start creating CustomArray
10:07:15.037 [main] INFO  task.creator.CustomerArrayCreator - CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
10:07:15.037 [main] INFO   - Array for sort  = CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
10:07:15.037 [main] INFO  service.impl.ArraySortStreamImpl - Sort with stream "sortCustomerArray(CustomerArray customerArray)" start
10:07:15.037 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
10:07:15.037 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
10:07:15.037 [main] INFO  service.impl.ArraySortStreamImpl - Transmitted array : CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
10:07:15.038 [main] INFO  service.impl.ArraySortStreamImpl - Sort with stream sortCustomerArray(CustomerArray customerArray) has finished. Sorted array :CustomerArray[-1.8, 9.6, 8.7, 1.3, 6.1, 8.0]
10:07:15.038 [main] INFO   - Array after sort  = CustomerArray[-1.8, 1.3, 6.1, 8.0, 8.7, 9.6]

10:07:15.038 [main] INFO  reader.impl.DataStringReaderStreamImpl - Start read from txt.
10:07:15.038 [main] INFO  task.validator.ValidatorParseStringOfDouble - Start to validate string: 3.6 5.9 5в6 -9.7
10:07:15.038 [main] INFO  task.validator.ValidatorParseStringOfDouble - Validating is: false
10:07:15.038 [main] INFO  task.validator.ValidatorParseStringOfDouble - Start to validate string: -1.8, 9.6,8.7, 1.3 6.1 8 0
10:07:15.038 [main] INFO  task.validator.ValidatorParseStringOfDouble - Validating is: true
10:07:15.038 [main] INFO  reader.impl.DataStringReaderStreamImpl - Reading from txt has finished. Line  = Optional[-1.8, 9.6,8.7, 1.3 6.1 8 0]
10:07:52.441 [main] INFO  reader.impl.DataStringReaderStreamImpl - Start read from txt.
10:07:52.445 [main] INFO  task.validator.ValidatorParseStringOfDouble - Start to validate string: 3.6 5.9 5в6 -9.7
10:07:52.446 [main] INFO  task.validator.ValidatorParseStringOfDouble - Validating is: false
10:07:52.446 [main] INFO  task.validator.ValidatorParseStringOfDouble - Start to validate string: -1.8, 9.6,8.7, 1.3 6.1 8 0
10:07:52.447 [main] INFO  task.validator.ValidatorParseStringOfDouble - Validating is: true
10:07:52.447 [main] INFO  reader.impl.DataStringReaderStreamImpl - Reading from txt has finished. Line  = Optional[-1.8, 9.6,8.7, 1.3 6.1 8 0]
10:08:06.798 [main] INFO  task.parser.ParserStringToArrayDoubleStream - Start parse in parseStringToDouble(String line). Line = -1.8, 9.6,8.7, 1.3 6.1 8 0
10:08:06.799 [main] INFO  task.validator.ValidatorParseStringOfDouble - Start to validate string: -1.8, 9.6,8.7, 1.3 6.1 8 0
10:08:06.799 [main] INFO  task.validator.ValidatorParseStringOfDouble - Validating is: true
10:08:06.803 [main] INFO  task.parser.ParserStringToArrayDoubleStream - Finish parse in parseStringToDouble(String line). Array : [-1.8, 9.6, 8.7, 1.3, 6.1, 8.0, 0.0]

10:08:06.804 [main] INFO  task.parser.ParserStringToArrayDoubleStream - Start parse in parseStringToDouble(String line). Line = 9.8 6 8.7, 8.9
10:08:06.805 [main] INFO  task.validator.ValidatorParseStringOfDouble - Start to validate string: 9.8 6 8.7, 8.9
10:08:06.805 [main] INFO  task.validator.ValidatorParseStringOfDouble - Validating is: true
10:08:06.805 [main] INFO  task.parser.ParserStringToArrayDoubleStream - Finish parse in parseStringToDouble(String line). Array : [9.8, 6.0, 8.7, 8.9]

