09:16:54.399 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
09:16:54.399 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Array :[-1.2, -6.3]
09:16:54.399 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Start sort by merge.
09:16:54.399 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-1.2]
09:16:54.400 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
09:16:54.400 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Array :[-1.2]
09:16:54.400 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Start sort by merge.
09:16:54.400 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-6.3]
09:16:54.400 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
09:16:54.400 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Array :[-6.3]
09:16:54.400 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Start sort by merge.
09:16:54.400 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-8.0, -5.0, 6.3, 5.7]
09:16:54.400 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
09:16:54.400 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Array :[-8.0, -5.0, 6.3, 5.7]
09:16:54.400 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Start sort by merge.
09:16:54.400 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-8.0, -5.0]
09:16:54.400 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: true
09:16:54.400 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Array :[-8.0, -5.0]
09:16:54.400 [main] INFO  service.Impl.ArrayServiceSortImpl2 - Start sort by merge.
09:16:54.400 [main] INFO  task.validator.ValidatorCustomerArray - Start validating array: CustomerArray[-8.0]
