10:18:13.193 [main] INFO  task.validator.ValidatorCustomerArray - Validating is: false
10:18:13.195 [main] INFO  reader.impl.DataStringReaderImpl - Start read from txt.
10:18:13.196 [main] INFO  reader.impl.DataStringReaderImpl - Line is : 3.6 5.9 5в6 -9.7
10:18:13.196 [main] INFO  task.validator.ValidatorParseStringOfDouble - Start to validate string: 3.6 5.9 5в6 -9.7
10:18:13.196 [main] INFO  task.validator.ValidatorParseStringOfDouble - Validating is: false
10:18:13.196 [main] INFO  reader.impl.DataStringReaderImpl - Line is : -1.8, 9.6,8.7, 1.3 6.1 8 0
10:18:13.196 [main] INFO  task.validator.ValidatorParseStringOfDouble - Start to validate string: -1.8, 9.6,8.7, 1.3 6.1 8 0
10:18:13.196 [main] INFO  task.validator.ValidatorParseStringOfDouble - Validating is: true
10:18:13.196 [main] INFO  reader.impl.DataStringReaderImpl - Finish read from txt. True line is : -1.8, 9.6,8.7, 1.3 6.1 8 0
10:18:13.198 [main] INFO  task.parser.ParserStringToArrayDouble - Start parse in parseStringToDouble(String line). Line = -1.8, 9.6,8.7, 1.3 6.1 8 0
10:18:13.198 [main] INFO  task.validator.ValidatorParseStringOfDouble - Start to validate string: -1.8, 9.6,8.7, 1.3 6.1 8 0
10:18:13.198 [main] INFO  task.validator.ValidatorParseStringOfDouble - Validating is: true
10:18:13.198 [main] INFO  task.parser.ParserStringToArrayDouble - Finish parse in parseStringToDouble(String line). Array : [-1.8, 9.6, 8.7, 1.3, 6.1, 8.0, 0.0]
10:18:13.199 [main] INFO  task.parser.ParserStringToArrayDouble - Start parse in parseStringToDouble(String line). Line = 9.8 6 8.7, 8.9
10:18:13.199 [main] INFO  task.validator.ValidatorParseStringOfDouble - Start to validate string: 9.8 6 8.7, 8.9
10:18:13.199 [main] INFO  task.validator.ValidatorParseStringOfDouble - Validating is: true
10:18:13.199 [main] INFO  task.parser.ParserStringToArrayDouble - Finish parse in parseStringToDouble(String line). Array : [9.8, 6.0, 8.7, 8.9]
